MapVersion,SectionId,FromAddressId,ToAddressId,SectionPosition,AllowVehiclePosition,AllowCargoPosition,VehicleSpeedUnload,VehicleSpeedLoaded,VehicleSpeedEnforce
2025121101,10281,102203800,102203900,0,0/180,0/180,1200,1000,0
2025121101,10284,102203900,102103900,270,90/270,0/180,1200,1000,0
2025121101,10282,102203900,102203800,180,0/180,0/180,1200,1000,0
2025121101,10283,102203900,102204000,0,0/180,0/180,1200,1000,0
2025121101,10292,102204000,102203900,180,0/180,0/180,1200,1000,0
2025121101,10293,102204000,102204100,0,0/180,0/180,1200,1000,0
2025121101,10290,102204100,102104100,270,90/270,0/180,1200,1000,0
2025121101,10288,102204100,102204000,180,0/180,0/180,1200,1000,0
2025121101,10291,102204100,102204200,0,0/180,0/180,1200,1000,0
2025121101,10289,102204100,102304100,90,90/270,0/180,1200,1000,0
2025121101,10303,102204200,102204100,180,0/180,0/180,1200,1000,0
2025121101,10305,102204200,102204300,0,0/180,0/180,1200,1000,0
2025121101,10316,102204300,102104300,270,90/270,0/180,1200,1000,0
2025121101,10315,102204300,102204200,180,0/180,0/180,1200,1000,0
2025121101,10318,102204300,102204400,0,0/180,0/180,1200,1000,0
2025121101,10317,102204300,102304300,90,90/270,0/180,1200,1000,0
2025121101,10325,102204400,102204300,180,0/180,0/180,1200,1000,0
2025121101,10326,102204400,102204500,0,0/180,0/180,1200,1000,0
2025121101,10340,102204500,102104500,270,90/270,0/180,1200,1000,0
2025121101,10339,102204500,102204400,180,0/180,0/180,1200,1000,0
2025121101,10342,102204500,102204600,0,0/180,0/180,1200,1000,0
2025121101,10341,102204500,102304500,90,90/270,0/180,1200,1000,0
2025121101,10349,102204600,102204500,180,0/180,0/180,1200,1000,0
2025121101,10351,102204600,102204700,0,0/180,0/180,1200,1000,0
2025121101,10362,102204700,102104700,270,90/270,0/180,1200,1000,0
2025121101,10361,102204700,102204600,180,0/180,0/180,1200,1000,0
2025121101,10364,102204700,102204900,0,0/180,0/180,1200,1000,0
2025121101,10363,102204700,102304700,90,90/270,0/180,1200,1000,0
2025121101,10370,102204900,102204700,180,0/180,0/180,1200,1000,0
2025121101,10372,102204900,102205000,0,0/180,0/180,1200,1000,0
2025121101,10378,102205000,102105000,270,90/270,0/180,1200,1000,0
2025121101,10376,102205000,102204900,180,0/180,0/180,1200,1000,0
2025121101,10377,102205000,102205100,0,0/180,0/180,1200,1000,0
2025121101,10403,102205100,102205000,180,0/180,0/180,1200,1000,0
2025121101,10404,102205100,102205200,0,0/180,0/180,1200,1000,0
2025121101,10395,102205200,102205100,180,0/180,0/180,1200,1000,0
2025121101,10396,102205200,102205300,0,0/180,0/180,1200,1000,0
2025121101,10410,102205300,102105300,270,90/270,0/180,1200,1000,0
2025121101,10409,102205300,102205200,180,0/180,0/180,1200,1000,0
2025121101,10412,102205300,102205400,0,0/180,0/180,1200,1000,0
2025121101,10411,102205300,102305300,90,90/270,0/180,1200,1000,0
2025121101,10418,102205400,102205300,180,0/180,0/180,1200,1000,0
2025121101,10420,102205400,102205500,0,0/180,0/180,1200,1000,0
2025121101,10428,102205500,102105500,270,90/270,0/180,1200,1000,0
2025121101,10427,102205500,102205400,180,0/180,0/180,1200,1000,0
2025121101,10430,102205500,102205600,0,0/180,0/180,1200,1000,0
2025121101,10429,102205500,102305500,90,90/270,0/180,1200,1000,0
2025121101,10441,102205600,102205500,180,0/180,0/180,1200,1000,0
2025121101,10443,102205600,102205700,0,0/180,0/180,1200,1000,0
2025121101,10457,102205700,102105700,270,90/270,0/180,1200,1000,0
2025121101,10456,102205700,102205600,180,0/180,0/180,1200,1000,0
2025121101,10459,102205700,102205800,0,0/180,0/180,1200,1000,0
2025121101,10458,102205700,102305700,90,90/270,0/180,1200,1000,0
2025121101,10473,102205800,102205700,180,0/180,0/180,1200,1000,0
2025121101,10474,102205800,102205900,0,0/180,0/180,1200,1000,0
2025121101,10465,102205900,102105900,270,90/270,0/180,1200,1000,0
2025121101,10466,102205900,102205800,180,0/180,0/180,1200,1000,0
2025121101,10467,102205900,102206000,0,0/180,0/180,1200,1000,0
2025121101,10488,102206000,102205900,180,0/180,0/180,1200,1000,0
2025121101,10489,102206000,102206100,0,0/180,0/180,1200,1000,0
2025121101,10490,102206100,102106100,270,90/270,0/180,1200,1000,0
2025121101,10480,102206100,102206000,180,0/180,0/180,1200,1000,0
2025121101,10481,102206100,102206200,0,0/180,0/180,1200,1000,0
2025121101,10507,102206200,102106200,270,90/270,0/180,1200,1000,0
2025121101,10505,102206200,102206100,180,0/180,0/180,1200,1000,0
2025121101,10506,102206200,102206300,0,0/180,0/180,1200,1000,0
2025121101,10522,102206300,102206200,180,0/180,0/180,1200,1000,0
2025121101,10523,102206300,102206500,0,0/180,0/180,1200,1000,0
2025121101,10518,102206500,102106500,270,90/270,0/180,1200,1000,0
2025121101,10509,102206500,102206300,180,0/180,0/180,1200,1000,0
2025121101,10516,102206500,102206600,0,0/180,0/180,1200,1000,0
2025121101,10551,102206600,102106600,270,90/270,0/180,1200,1000,0
2025121101,10549,102206600,102206500,180,0/180,0/180,1200,1000,0
2025121101,10550,102206600,102206700,0,0/180,0/180,1200,1000,0
2025121101,10528,102206700,102106700,270,90/270,0/180,1200,1000,0
2025121101,10526,102206700,102206600,180,0/180,0/180,1200,1000,0
2025121101,10527,102206700,102206900,0,0/180,0/180,1200,1000,0
2025121101,10525,102206700,102306700,90,90/270,0/180,1200,1000,0
2025121101,10558,102206900,102106900,270,90/270,0/180,1200,1000,0
2025121101,10561,102206900,102206700,180,0/180,0/180,1200,1000,0
2025121101,10556,102206900,102306900,90,90/270,0/180,1200,1000,0
2025121101,10162,102301700,102201700,270,90/270,0/180,1200,1000,0
2025121101,10161,102301700,102401700,90,90/270,0/180,1200,1000,0
2025121101,10763,102302500,102202500,270,90/270,0/180,1200,1000,0
2025121101,10761,102302600,102202600,270,90/270,0/180,1200,1000,0
2025121101,10765,102303000,102203000,270,90/270,0/180,1200,1000,0
2025121101,10295,102304100,102204100,270,90/270,0/180,1200,1000,0
2025121101,10323,102304300,102204300,270,90/270,0/180,1200,1000,0
2025121101,10347,102304500,102204500,270,90/270,0/180,1200,1000,0
2025121101,10369,102304700,102204700,270,90/270,0/180,1200,1000,0
2025121101,10416,102305300,102205300,270,90/270,0/180,1200,1000,0
2025121101,10435,102305500,102205500,270,90/270,0/180,1200,1000,0
2025121101,10464,102305700,102205700,270,90/270,0/180,1200,1000,0
2025121101,10547,102306700,102206700,270,90/270,0/180,1200,1000,0
2025121101,10560,102306900,102206900,270,90/270,0/180,1200,1000,0
2025121101,10104,102401700,102301700,270,90/270,0/180,1200,1000,0
2025121101,10103,102401700,102501700,90,90/270,0/180,1200,1000,0
2025121101,10102,102501700,102401700,270,90/270,0/180,1200,1000,0
2025121101,10101,102501700,102601700,90,90/270,0/180,1200,1000,0
2025121101,10753,102600100,102700100,90,90/270,0/180,1200,1000,0
2025121101,10747,102600300,102700300,90,90/270,0/180,1200,1000,0
2025121101,10744,102600400,102700400,90,90/270,0/180,1200,1000,0
2025121101,10738,102600600,102700600,90,90/270,0/180,1200,1000,0
2025121101,10732,102600800,102700800,90,90/270,0/180,1200,1000,0
2025121101,10726,102601000,102701000,90,90/270,0/180,1200,1000,0
2025121101,10723,102601100,102701100,90,90/270,0/180,1200,1000,0
2025121101,10717,102601300,102701300,90,90/270,0/180,1200,1000,0
2025121101,10099,102601700,102501700,270,90/270,0/180,1200,1000,0
2025121101,10098,102601700,102701700,90,90/270,0/180,1200,1000,0
2025121101,10095,102700100,102600100,270,90/270,0/180,1200,1000,0
2025121101,10093,102700100,102700200,0,0/180,0/180,1200,1000,0
2025121101,10094,102700100,102900100,90,90/270,0/180,1200,1000,0
2025121101,10088,102700200,102700100,180,0/180,0/180,1200,1000,0
2025121101,10086,102700200,102700300,0,0/180,0/180,1200,1000,0
2025121101,10087,102700200,102900200,90,90/270,0/180,1200,1000,0
2025121101,10082,102700300,102600300,270,90/270,0/180,1200,1000,0
2025121101,10081,102700300,102700200,180,0/180,0/180,1200,1000,0
2025121101,10079,102700300,102700400,0,0/180,0/180,1200,1000,0
2025121101,10080,102700300,102900300,90,90/270,0/180,1200,1000,0
2025121101,10075,102700400,102600400,270,90/270,0/180,1200,1000,0
2025121101,10074,102700400,102700300,180,0/180,0/180,1200,1000,0
2025121101,10072,102700400,102700500,0,0/180,0/180,1200,1000,0
2025121101,10073,102700400,102900400,90,90/270,0/180,1200,1000,0
2025121101,10067,102700500,102700400,180,0/180,0/180,1200,1000,0
2025121101,10065,102700500,102700600,0,0/180,0/180,1200,1000,0
2025121101,10066,102700500,102900500,90,90/270,0/180,1200,1000,0
2025121101,10061,102700600,102600600,270,90/270,0/180,1200,1000,0
2025121101,10060,102700600,102700500,180,0/180,0/180,1200,1000,0
2025121101,10058,102700600,102700700,0,0/180,0/180,1200,1000,0
2025121101,10059,102700600,102900600,90,90/270,0/180,1200,1000,0
2025121101,10052,102700700,102700600,180,0/180,0/180,1200,1000,0
2025121101,10050,102700700,102700800,0,0/180,0/180,1200,1000,0
2025121101,10051,102700700,102900700,90,90/270,0/180,1200,1000,0
2025121101,10026,102700800,102600800,270,90/270,0/180,1200,1000,0
2025121101,10025,102700800,102700700,180,0/180,0/180,1200,1000,0
2025121101,10023,102700800,102700900,0,0/180,0/180,1200,1000,0
2025121101,10024,102700800,102900800,90,90/270,0/180,1200,1000,0
2025121101,10020,102700900,102700800,180,0/180,0/180,1200,1000,0
2025121101,10019,102700900,102701000,0,0/180,0/180,1200,1000,0
2025121101,10021,102700900,102900900,90,90/270,0/180,1200,1000,0
2025121101,10018,102701000,102601000,270,90/270,0/180,1200,1000,0
2025121101,10016,102701000,102700900,180,0/180,0/180,1200,1000,0
2025121101,10015,102701000,102701100,0,0/180,0/180,1200,1000,0
2025121101,10017,102701000,102901000,90,90/270,0/180,1200,1000,0
2025121101,10014,102701100,102601100,270,90/270,0/180,1200,1000,0
2025121101,10012,102701100,102701000,180,0/180,0/180,1200,1000,0
2025121101,10011,102701100,102701200,0,0/180,0/180,1200,1000,0
2025121101,10013,102701100,102901100,90,90/270,0/180,1200,1000,0
2025121101,10008,102701200,102701100,180,0/180,0/180,1200,1000,0
